name,link
W001425616,https://www.wayfair.com/furniture/pdp/mercury-row-gerhard-tufted-polyester-armchair-w001425616.html
VCTS1177,https://www.wayfair.com/furniture/pdp/wade-logan-antone-25-w-tufted-full-grain-leather-swivel-lounge-chair-and-ottoman-genuine-italian-leather-vcts1177.html
W005200014,https://www.wayfair.com/furniture/pdp/lark-manor-thanos-8001cm-wide-tufted-armchair-w005200014.html?categoryid=416225&placement=7&slot=3&sponsoredid=73a400a99af2f639c5a3ef00727989ccadea592ffd3c6272f5623371216e5c19&_txid=I%2FcmXGEsWCOqsmoz7INqAg%3D%3D&isB2b=0&auctionId=7a00e740-0d80-47bd-ac4f-d4c503d6b1fa
W003161347,https://www.wayfair.com/shop-product-type/pdp/allmodern-lancaster-394-w-fabric-lounge-chair-with-wood-frame-w003161347.html
W005842041,https://www.wayfair.com/furniture/pdp/hashtag-home-marley-295-w-armchair-and-ottoman-w005842041.html
W004662874,https://www.wayfair.com/furniture/pdp/mercury-row-fralick-upholstered-parsons-chair-w004662874.html
W000080145,https://www.wayfair.com/furniture/pdp/birch-lane-rella-42-wide-top-grain-leather-club-chair-w000080145.html
W001028043,https://www.wayfair.com/furniture/pdp/sand-stable-atkinson-315-wide-polyester-wingback-chair-w001028043.html
W001292967,https://www.wayfair.com/furniture/pdp/one-allium-way-lynch-linen-upholstery-parsons-chair-w001292967.html?categoryid=416225&placement=7&slot=4&sponsoredid=1a51353007c38a5bd87702c1f30bb411f129ca42790187ffaa81671859deee61&_txid=I%2FcmXGEsWCOqsmoz7INqAg%3D%3D&isB2b=0&auctionId=7a00e740-0d80-47bd-ac4f-d4c503d6b1fa
W005010239,https://www.wayfair.com/furniture/pdp/willa-arlo-interiors-ricarda-barrel-chair-w005010239.html
KTHM1914,https://www.wayfair.com/furniture/pdp/gold-flamingo-claudie-26-wide-tufted-side-chair-kthm1914.html
W004438340,https://www.wayfair.com/furniture/pdp/three-posts-labarre-2874-wide-armchair-w004438340.html
W006110320,https://www.wayfair.com/baby-kids/pdp/mercury-row-teen-wolfe-3071-convertible-chair-w006110320.html
W002532924,https://www.wayfair.com/furniture/pdp/foundstone-thelma-26-wide-side-chair-w002532924.html
W004820946,https://www.wayfair.com/furniture/pdp/everly-quinn-etkin-3425-w-w004820946.html?categoryid=416225&placement=7&slot=5&sponsoredid=22354e7399b7c09d18f806747ce9a20dc40bb45e5b1192c95a61a1093789b288&_txid=I%2FcmXGEsWCOqsmoz7INqAg%3D%3D&isB2b=0&auctionId=7a00e740-0d80-47bd-ac4f-d4c503d6b1fa
W002729369,https://www.wayfair.com/furniture/pdp/andover-mills-gaener-2475-wide-linen-wingback-chair-w002729369.html
W005543659,https://www.wayfair.com/furniture/pdp/mercer41-aariyona-velvet-accent-chair-w005543659.html
